               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037463,            0.026957,           0.0072261,             0.66484,             0.54628,             0.60469,             0.29876,            0.030868,           0.0094287,           0.0032702,              0.0037,              0.0037,              0.0037
                  37,              0.0375,             0.02678,            0.007322,             0.64871,             0.60216,             0.62136,             0.29644,            0.031265,           0.0092736,           0.0035717,             0.00352,             0.00352,             0.00352
                  38,            0.037028,            0.026938,           0.0073609,             0.67792,             0.58454,             0.63611,             0.31531,            0.030352,           0.0091131,           0.0033467,             0.00334,             0.00334,             0.00334
                  39,            0.036578,            0.026646,           0.0069398,             0.65585,              0.5905,             0.62305,             0.31375,            0.030377,           0.0092672,           0.0033169,             0.00316,             0.00316,             0.00316
                  40,            0.036697,            0.026489,           0.0069803,             0.68173,             0.63457,             0.66107,             0.32109,            0.030387,           0.0092014,           0.0031064,             0.00298,             0.00298,             0.00298
                  41,            0.036607,            0.026306,           0.0066939,             0.66046,             0.61134,             0.64214,             0.33097,            0.029433,           0.0091846,           0.0033107,              0.0028,              0.0028,              0.0028
                  42,            0.037118,            0.026387,           0.0069262,             0.64478,             0.60154,             0.63498,             0.32593,            0.029593,           0.0091657,           0.0031365,             0.00262,             0.00262,             0.00262
                  43,            0.036254,            0.026278,           0.0071624,             0.67075,             0.58949,              0.6403,             0.32161,             0.03067,            0.009148,           0.0028097,             0.00244,             0.00244,             0.00244
                  44,            0.035996,            0.025774,           0.0062796,             0.67987,             0.61855,              0.6529,             0.33005,            0.029591,           0.0091497,           0.0027641,             0.00226,             0.00226,             0.00226
                  45,            0.035819,            0.026011,           0.0068216,             0.69489,             0.60309,             0.65376,             0.34178,            0.028777,           0.0090987,            0.003121,             0.00208,             0.00208,             0.00208
                  46,            0.035488,            0.026118,           0.0063073,             0.67917,             0.61678,             0.66409,             0.34344,            0.028878,           0.0090306,            0.002843,              0.0019,              0.0019,              0.0019
                  47,             0.03575,            0.026096,           0.0060272,             0.66055,              0.6457,             0.66537,             0.33562,            0.029266,            0.009076,           0.0028546,             0.00172,             0.00172,             0.00172
                  48,            0.035146,            0.026071,           0.0060733,             0.66189,             0.62412,              0.6635,             0.34339,            0.029193,            0.009029,           0.0027159,             0.00154,             0.00154,             0.00154
                  49,            0.035326,            0.025718,           0.0059858,             0.64612,             0.64473,             0.66533,             0.34782,            0.028977,           0.0089514,           0.0027978,             0.00136,             0.00136,             0.00136
