模型名称,文件大小(MB),总参数量,可训练参数,GFLOPs,推理时间(ms),FPS,状态
yolov5s-ghost_1_,10.16,"5,084,343",0,4.8,2.15,464.8,成功
yolov5s-ghost_123_,10.38,"5,184,679",0,4.8,3.09,323.2,成功
yolov5s_,13.78,"7,015,519",0,7.3,2.01,497.3,成功
yolov5s-ghost_2_,14.0,"7,115,855",0,7.4,3.12,320.3,成功
yolov5s-ghost_3_,13.78,"7,015,519",0,7.3,2.02,496.2,成功
